DATE,LFEMTTTTAUM647N
1964-02-01,4476000
1964-03-01,.
1964-04-01,.
1964-05-01,4481000
1964-06-01,.
1964-07-01,.
1964-08-01,4488000
1964-09-01,.
1964-10-01,.
1964-11-01,4537000
1964-12-01,.
1965-01-01,.
1965-02-01,4599000
1965-03-01,.
1965-04-01,.
1965-05-01,4613000
1965-06-01,.
1965-07-01,.
1965-08-01,4629000
1965-09-01,.
1965-10-01,.
1965-11-01,4672000
1965-12-01,.
1966-01-01,.
1966-02-01,4725000
1966-03-01,.
1966-04-01,.
1966-05-01,4738000
1966-06-01,.
1966-07-01,.
1966-08-01,4823900.0
1966-09-01,.
1966-10-01,.
1966-11-01,4853700.0
1966-12-01,.
1967-01-01,.
1967-02-01,4901300.0
1967-03-01,.
1967-04-01,.
1967-05-01,4906500.0
1967-06-01,.
1967-07-01,.
1967-08-01,4933000
1967-09-01,.
1967-10-01,.
1967-11-01,4971200.0
1967-12-01,.
1968-01-01,.
1968-02-01,5017900.0
1968-03-01,.
1968-04-01,.
1968-05-01,5032600.0
1968-06-01,.
1968-07-01,.
1968-08-01,5055600.0
1968-09-01,.
1968-10-01,.
1968-11-01,5078800.0
1968-12-01,.
1969-01-01,.
1969-02-01,5152900.0
1969-03-01,.
1969-04-01,.
1969-05-01,5159900.0
1969-06-01,.
1969-07-01,.
1969-08-01,5183000
1969-09-01,.
1969-10-01,.
1969-11-01,5254600.0
1969-12-01,.
1970-01-01,.
1970-02-01,5331700.0
1970-03-01,.
1970-04-01,.
1970-05-01,5371700.0
1970-06-01,.
1970-07-01,.
1970-08-01,5395600.0
1970-09-01,.
1970-10-01,.
1970-11-01,5450900.0
1970-12-01,.
1971-01-01,.
1971-02-01,5491500.0
1971-03-01,.
1971-04-01,.
1971-05-01,5526600.0
1971-06-01,.
1971-07-01,.
1971-08-01,5515700.0
1971-09-01,.
1971-10-01,.
1971-11-01,5532800.0
1971-12-01,.
1972-01-01,.
1972-02-01,5543500.0
1972-03-01,.
1972-04-01,.
1972-05-01,5567700.0
1972-06-01,.
1972-07-01,.
1972-08-01,5609900.0
1972-09-01,.
1972-10-01,.
1972-11-01,5684300.0
1972-12-01,.
1973-01-01,.
1973-02-01,5708300.0
1973-03-01,.
1973-04-01,.
1973-05-01,5719600.0
1973-06-01,.
1973-07-01,.
1973-08-01,5783000
1973-09-01,.
1973-10-01,.
1973-11-01,5849300.0
1973-12-01,.
1974-01-01,.
1974-02-01,5902000
1974-03-01,.
1974-04-01,.
1974-05-01,5917900.0
1974-06-01,.
1974-07-01,.
1974-08-01,5855200.0
1974-09-01,.
1974-10-01,.
1974-11-01,5889500.0
1974-12-01,.
1975-01-01,.
1975-02-01,5827800.0
1975-03-01,.
1975-04-01,.
1975-05-01,5851600.0
1975-06-01,.
1975-07-01,.
1975-08-01,5841300.0
1975-09-01,.
1975-10-01,.
1975-11-01,5944800.0
1975-12-01,.
1976-01-01,.
1976-02-01,5948800.0
1976-03-01,.
1976-04-01,.
1976-05-01,5982300.0
1976-06-01,.
1976-07-01,.
1976-08-01,5897800.0
1976-09-01,.
1976-10-01,.
1976-11-01,5955000
1976-12-01,.
1977-01-01,.
1977-02-01,5985200.0
1977-03-01,.
1977-04-01,.
1977-05-01,6024200.0
1977-06-01,.
1977-07-01,.
1977-08-01,5995400.0
1977-09-01,.
1977-10-01,.
1977-11-01,5995400.0
1977-12-01,.
1978-01-01,.
1978-02-01,5985659.716
1978-03-01,6040560.795
1978-04-01,6054213.859
1978-05-01,6038264.751
1978-06-01,6031342.299
1978-07-01,6036083.926
1978-08-01,6005361.453000001
1978-09-01,6024313.4520000005
1978-10-01,6045855.102000001
1978-11-01,6033797.442
1978-12-01,6125360.438
1979-01-01,5971328.824999999
1979-02-01,6050693.473
1979-03-01,6096175.215
1979-04-01,6087653.708
1979-05-01,6075610.904999999
1979-06-01,6095734.051
1979-07-01,6103921.742000001
1979-08-01,6078521.592
1979-09-01,6157789.149
1979-10-01,6164048.319
1979-11-01,6188840.648
