DATE,LFEMTTTTAUM647S
1967-02-01,4883200.0
1967-03-01,.
1967-04-01,.
1967-05-01,4907300.0
1967-06-01,.
1967-07-01,.
1967-08-01,4945700.0
1967-09-01,.
1967-10-01,.
1967-11-01,4975600.0
1967-12-01,.
1968-01-01,.
1968-02-01,5000600.0
1968-03-01,.
1968-04-01,.
1968-05-01,5032700.0
1968-06-01,.
1968-07-01,.
1968-08-01,5068700.0
1968-09-01,.
1968-10-01,.
1968-11-01,5082100.0
1968-12-01,.
1969-01-01,.
1969-02-01,5137300.0
1969-03-01,.
1969-04-01,.
1969-05-01,5159200.0
1969-06-01,.
1969-07-01,.
1969-08-01,5196400.0
1969-09-01,.
1969-10-01,.
1969-11-01,5255700.0
1969-12-01,.
1970-01-01,.
1970-02-01,5318400.0
1970-03-01,.
1970-04-01,.
1970-05-01,5370500.0
1970-06-01,.
1970-07-01,.
1970-08-01,5410000
1970-09-01,.
1970-10-01,.
1970-11-01,5448900.0
1970-12-01,.
1971-01-01,.
1971-02-01,5480800.0
1971-03-01,.
1971-04-01,.
1971-05-01,5524600.0
1971-06-01,.
1971-07-01,.
1971-08-01,5532000
1971-09-01,.
1971-10-01,.
1971-11-01,5526900.0
1971-12-01,.
1972-01-01,.
1972-02-01,5536000
1972-03-01,.
1972-04-01,.
1972-05-01,5564400.0
1972-06-01,.
1972-07-01,.
1972-08-01,5628600.0
1972-09-01,.
1972-10-01,.
1972-11-01,5674100.0
1972-12-01,.
1973-01-01,.
1973-02-01,5703800.0
1973-03-01,.
1973-04-01,.
1973-05-01,5714500.0
1973-06-01,.
1973-07-01,.
1973-08-01,5804800.0
1973-09-01,.
1973-10-01,.
1973-11-01,5835800.0
1973-12-01,.
1974-01-01,.
1974-02-01,5900000
1974-03-01,.
1974-04-01,.
1974-05-01,5910600.0
1974-06-01,.
1974-07-01,.
1974-08-01,5878900.0
1974-09-01,.
1974-10-01,.
1974-11-01,5874900.0
1974-12-01,.
1975-01-01,.
1975-02-01,5827900.0
1975-03-01,.
1975-04-01,.
1975-05-01,5840900.0
1975-06-01,.
1975-07-01,.
1975-08-01,5865800.0
1975-09-01,.
1975-10-01,.
1975-11-01,5930500.0
1975-12-01,.
1976-01-01,.
1976-02-01,5951200.0
1976-03-01,.
1976-04-01,.
1976-05-01,5968500.0
1976-06-01,.
1976-07-01,.
1976-08-01,5922100.0
1976-09-01,.
1976-10-01,.
1976-11-01,5942500.0
1976-12-01,.
1977-01-01,.
1977-02-01,5989200.0
1977-03-01,.
1977-04-01,.
1977-05-01,6008200.0
1977-06-01,.
1977-07-01,.
1977-08-01,6018900.0
1977-09-01,.
1977-10-01,.
1977-11-01,5984200.0
1977-12-01,.
1978-01-01,.
1978-02-01,5997656.381
1978-03-01,6003215.125
1978-04-01,6030850.797
1978-05-01,6033379.383
1978-06-01,6033765.65
1978-07-01,6030512.166
1978-08-01,6036373.268
1978-09-01,6029744.646
1978-10-01,6035761.972
1978-11-01,6028228.0819999995
1978-12-01,6053290.873
1979-01-01,6052544.519
1979-02-01,6063629.648
1979-03-01,6055936.510000001
1979-04-01,6064750.12
1979-05-01,6070490.071
1979-06-01,6099331.516
1979-07-01,6097471.68
1979-08-01,6114875.3440000005
1979-09-01,6117277.492000001
1979-10-01,6152030.343
1979-11-01,6180498.222
